idiom,definition
you can't catch old birds with chaff,The wisest and the most experienced cannot be easily deceived.
you can't fix stupid,It is often fruitless to help people who are stupid and do stupid things.
you can't get a quart into a pint pot,You cannot fit a large object or amount in something smaller.
you can't go home again,Past times which are fondly remembered are irrecoverably in the past and cannot be relived.
you can't judge a book by its cover,It is not possible to make reliable judgments about things or people by considering external appearances alone.
you can't keep a good man down,"A person who has talent, resolve, or moral strength will eventually succeed despite having been overlooked, injured, or defeated."
you can't make an omelette without breaking eggs,"In order to achieve something, it is inevitable and necessary that some mistakes are made or some sacrifices must occur."
you can't make a silk purse of a sow's ear,"It is not possible to produce something refined, admirable, or valuable from something which is unrefined, unpleasant, or of little or no value."
you can't outrun your fork,Exercise is not enough to counteract an unhealthy diet.
you can't polish a turd,Something inherently unfavourable or unpleasant cannot be improved.
you can't pour from an empty cup,"In order to be able to provide other people with emotional support, one must take care of one's own mental health."
you can't put an old head on young shoulders,Young people inevitably lack the experience and wisdom which come with age.
you can't put the toothpaste back in the tube,"Once something is said or done, it cannot be unsaid or undone."
you can't run with the hare and hunt with the hounds,You can't have it both ways.
you can't step in the same river twice,"It is not possible to repeat past experiences, as time changes all things."
you can't take it with you,It is not possible to take one's material wealth or possessions to whatever world may await one after death.
you can't teach an old dog new tricks,"It is impossible to change people's habits, traits, or mindset."
you can't turn a hoe into a housewife,A sexually promiscuous woman is not a suitable candidate for a committed housewife.
you can't unring a bell,Some things cannot be undone.
you can't win them all,It is impossible to always succeed; failure or disappointment is inevitable from time to time.
you don't dip your pen in company ink,One should avoid romantic or sexual relationships in the workplace.
you don't get something for nothing,One cannot expect to receive some benefit if one does not pay for it in some way or does not face a counterbalancing hazard or harm.
you don't look at the mantelpiece when you're poking the fire,A woman's facial attractiveness is irrelevant when considering her as a sexual partner.
you don't need a weatherman to know which way the wind blows,One does not require an expert to tell one what one already knows.
you get more with a kind word and a gun than you do with a kind word alone,It is advantageous not to rely solely on being nice to others.
you get what you pay for,"In commercial transactions, the quality of goods and services increases as the prices increase, i.e., the more one pays, the better the merchandise."
you have to be good to be lucky,People who succeed do so through skill and preparation rather than mere chance.
you make the bed you lie in,A person's circumstances are normally the result of their own actions.
you miss 100% of the shots you don't take,"To make no attempt to do something guarantees failure, so you should always try."
you must spoil before you spin,One cannot expect success at the first attempt; practice makes perfect.
you never know what you've got till it's gone,People tend to take things for granted while they are available.
you never miss the water till the well runs dry,People tend to take things for granted that are easily available.
you only get what you give,There is a positive correlation between the effort one puts in and the benefits one receives.
you only go around once,"A person has only one lifetime, and should therefore take every opportunity to enjoy a wide variety of experiences in order to maximize their achievements and satisfaction."
you pays your money and you takes your chances,There is no guarantee that you will get the result you want.
you pays your money and you takes your choice,Each person can make his or her own decisions.
you're never too old to learn,"It is possible to learn new things, at any age; one should follow one's desires and dreams."
you're only as good as your last shift,A person's perceived skill or competence is determined by their most recent success or failure.
"your face, your fate",One's fate and how one is treated in life depends on one's looks.
your network is your net worth,Possessing the right or certain professional connections will ensure financial success in one's career.
your vibe attracts your tribe,People are attracted to you based on your appearance and behavior.
you snooze you lose,"If one is not alert and attentive, one will not be successful."
you've got to be in it to win it,"In order to win, or succeed at something, one must first compete or try."
"you win some, you lose some",Everybody experiences some successes and some failures.
zeal without knowledge is a runaway horse,Enthusiasm of an inexperienced person will cause harm.
